20230411T09:49:50Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: Updating LOKI ...
20230411T09:49:50Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: Checking location of latest release https://api.github.com/repos/Neo23x0/Loki/releases/latest ...
20230411T09:49:51Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: Downloading latest release https://github.com/Neo23x0/Loki/releases/download/v0.45.0/loki_0.45.0.zip ...
20230411T09:49:52Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: Extracting docs/LICENSE-doublepulsarcheck ...
20230411T09:49:52Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: Extracting docs/LICENSE-PE-Sieve ...
20230411T09:49:52Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: Extracting LICENSE ...
20230411T09:49:52Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: Extracting loki.exe ...
20230411T09:49:52Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: Extracting plugins/loki-plugin-wmi.py ...
20230411T09:49:53Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: Extracting README.md ...
20230411T09:49:53Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: Extracting requirements.txt ...
20230411T09:49:53Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: Extracting tools/pe-sieve32.exe ...
20230411T09:49:53Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: Extracting tools/pe-sieve64.exe ...
20230411T09:49:53Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: Updating Signatures ...
20230411T09:49:53Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: Downloading https://github.com/Neo23x0/signature-base/archive/master.zip ...
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: README.txt
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: c2-iocs.txt
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: filename-iocs.txt
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: hash-iocs.txt
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: keywords.txt
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: otx-hash-iocs.txt
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: file-type-signatures.txt
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: airbnb_binaryalert.yar
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_aa19_024a.yar
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_agent_btz.yar
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_alienspy_rat.yar
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt10.yar
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt10_redleaves.yar
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt12_malware.yar
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt15.yar
20230411T09:49:54Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt17_mal_sep17.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt17_malware.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt19.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt27_hyperbro.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt28.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt28_drovorub.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt29_grizzly_steppe.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt29_nobelium_apr22.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt29_nobelium_may21.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt30_backspace.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt32.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt34.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt37.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt37_bluelight.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt3_bemstour.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt41.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt6_malware.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ar18_165a.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_area1_phishing_diplomacy.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_aus_parl_compromise.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_babyshark.yar
20230411T09:49:55Z PC1V632L LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_backdoor_ssh_python.yar
